Notice Type,Posted Date/Time,Notice Effective Date/Time,Notice End Date/Time,Notice Identifier,Subject,Response Date/Time,notice_key,detail_url,notice_type_code,notice_type,retrieved,station_2_related
Capacity Constraint,06/17/2026 07:40:34 AM,06/17/2026 07:40:34 AM,09/15/2026 07:40:34 AM,179297,"Huntingdon/Station 2 South Capacity for June 18, 2026",,179297,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179297&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/16/2026 07:42:09 AM,06/16/2026 07:42:09 AM,09/14/2026 07:42:09 AM,179258,"Huntingdon/Station 2 South Capacity for June 17, 2026",,179258,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179258&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/15/2026 07:39:37 AM,06/15/2026 07:39:37 AM,09/13/2026 07:39:37 AM,179221,"Huntingdon/Station 2 South Capacity for June 16, 2026",,179221,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179221&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/14/2026 10:46:45 AM,06/14/2026 10:46:45 AM,09/12/2026 10:46:45 AM,179191,"Huntingdon/Station 2 South Capacity for June 15, 2026 REVISED",,179191,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179191&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/12/2026 07:40:57 AM,06/12/2026 07:40:57 AM,09/10/2026 07:40:57 AM,179110,"Huntingdon/Station 2 South Capacity for June 13 - 15, 2026",,179110,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179110&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/11/2026 07:41:19 AM,06/11/2026 07:41:19 AM,09/09/2026 07:41:19 AM,179066,"Huntingdon/Station 2 South Capacity for 12, 2026",,179066,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179066&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/10/2026 01:42:50 PM,06/10/2026 01:42:50 PM,09/08/2026 01:42:50 PM,179020,"Huntingdon/Station 2 South Capacity June 10 ID2, 2026 REVISED",,179020,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=179020&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/10/2026 09:52:17 AM,06/10/2026 09:52:17 AM,09/08/2026 09:52:17 AM,178970,"Huntingdon/Station 2 South Capacity for June 10 ID1, 2026 REVISED",,178970,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178970&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/10/2026 07:52:41 AM,06/10/2026 07:52:41 AM,09/08/2026 07:52:41 AM,178964,"Huntingdon/Station 2 South Capacity for June 11, 2026",,178964,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178964&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/09/2026 06:12:20 PM,06/09/2026 06:12:20 PM,09/07/2026 06:12:20 PM,178963,"Huntingdon/Station 2 South Capacity June 9 ID3 and June 10, 2026 REVISED",,178963,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178963&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/09/2026 05:55:03 PM,06/09/2026 05:55:03 PM,09/07/2026 05:55:03 PM,178962,"Huntingdon/Station 2 South Capacity June 9 ID3 and June 10, 2026 REVISED",,178962,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178962&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/09/2026 07:37:11 AM,06/09/2026 07:37:11 AM,09/07/2026 07:37:11 AM,178925,"Huntingdon/Station 2 South Capacity for June 10, 2026",,178925,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178925&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/08/2026 07:45:08 AM,06/08/2026 07:45:08 AM,09/06/2026 07:45:08 AM,178886,"Huntingdon/Station 2 South Capacity for June 9, 2026",,178886,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178886&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/07/2026 01:20:44 PM,06/07/2026 01:20:44 PM,09/05/2026 01:20:44 PM,178854,"RE-ESTABLISHMENT 26"" Alberta East Capacity for June 7, 2026 ID1",,178854,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178854&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,06/05/2026 07:41:22 AM,06/05/2026 07:41:22 AM,09/03/2026 07:41:22 AM,178775,"Huntingdon/Station 2 South Capacity for June 6 - 8, 2026",,178775,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178775&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/04/2026 07:41:03 AM,06/04/2026 07:41:03 AM,09/02/2026 07:41:03 AM,178738,"Huntingdon/Station 2 South Capacity for June 5, 2026",,178738,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178738&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/03/2026 07:44:46 AM,06/03/2026 07:44:46 AM,09/01/2026 07:44:46 AM,178696,"Huntingdon/Station 2 South Capacity for June 4, 2026",,178696,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178696&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,06/02/2026 07:39:51 AM,06/02/2026 07:39:51 AM,08/31/2026 07:39:51 AM,178661,"Huntingdon/Station 2 South Capacity for June 3, 2026",,178661,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178661&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Pipeline Conditions,06/01/2026 03:48:06 PM,06/01/2026 03:58:06 PM,08/29/2026 12:00:00 AM,178659,Pipeline Operational Status for 06/01/2026,,178659,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178659&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,06/01/2026 07:44:11 AM,06/01/2026 07:44:11 AM,08/30/2026 07:44:11 AM,178612,"Huntingdon/Station 2 South Capacity for June 2, 2026",,178612,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178612&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Pipeline Conditions,06/01/2026 07:26:32 AM,06/01/2026 07:36:32 AM,08/29/2026 12:00:00 AM,178611,Pipeline Operational Status for 05/31/2026,,178611,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178611&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Pipeline Conditions,05/31/2026 03:43:06 PM,05/31/2026 03:53:06 PM,08/28/2026 12:00:00 AM,178609,Pipeline Operational Status for 05/31/2026,,178609,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178609&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Pipeline Conditions,05/31/2026 07:35:43 AM,05/31/2026 07:45:43 AM,08/28/2026 12:00:00 AM,178577,Pipeline Operational Status for 05/30/2026,,178577,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178577&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint,05/30/2026 08:35:00 AM,05/30/2026 08:35:00 AM,08/28/2026 08:35:00 AM,178546,"Huntingdon/Station 2 South Capacity for May 30 ID1 - 31, 2026 REVISED",,178546,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178546&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint,05/29/2026 07:49:17 AM,05/29/2026 07:49:17 AM,08/27/2026 07:49:17 AM,178505,"Huntingdon/Station 2 South Capacity for June 1, 2026",,178505,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=178505&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,True
Capacity Constraint/Maintenance,03/19/2026 10:45:29 AM,03/19/2026 10:45:29 AM,11/01/2026 10:45:29 AM,175398,Westcoast Pipeline 2026 Outage Forecast,,175398,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=175398&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
Capacity Constraint/Maintenance,10/30/2025 03:16:59 PM,10/30/2025 03:16:59 PM,11/01/2026 03:16:59 PM,169374,Westcoast Pipeline 2026 Outage Forecast,,169374,https://infopost.enbridge.com/infopost/NoticeListDetail.asp?strKey1=169374&type=CRI&Embed=2&pipe=WE,CRI,Critical,20260826_180526,False
